#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
14787.93087,5000,1556.867521
14822.162463,5000,1562.362853
14809.811914,5000,1566.990693
14795.186865,5000,1572.437597
14810.922678,5000,1577.426988
14806.421853,5000,1582.859505
14792.671297,5000,1587.45986
14801.254802,5000,1592.046065
14797.428763,5000,1597.451467
14810.223125,5000,1602.053596
14814.192075,5000,1607.516265
14817.29658,5000,1612.133214
14801.928423,5000,1617.591412
14799.256332,5000,1622.213008
14791.616276,5000,1627.605663
14799.271751,5000,1632.244127
14801.742381,5000,1636.79984
14804.284541,5000,1642.198734
14795.790777,5000,1646.758791
14797.174884,5000,1652.135479
14817.985378,5000,1656.723596
14802.226388,5000,1662.127123
14825.134771,5000,1666.810678
14815.541924,5000,1671.395408
14815.828038,5000,1676.837096
14817.13477,5000,1681.504863
14771.497561,5000,1687.004015
14807.140284,5000,1691.562666
14711.018845,5000,1697.014321
14655.751542,5000,1701.576683
14733.500661,5000,1707.065286
14664.370309,5000,1711.684186
14730.43756,5000,1716.330518
14715.952601,5000,1721.720639
14738.861922,5000,1726.352427
14718.806144,5000,1731.798534
14802.628103,5000,1736.39017
14760.744773,5000,1741.802117
14724.081244,5000,1746.428897
14643.496298,5000,1751.793045
14605.51616,5000,1756.387998
14658.537809,5000,1760.943236
14759.077865,5000,1766.4097
14779.371594,5000,1771.005303
36.43566,35,1771.022581
14811.173328,5000,1776.552004
14790.805292,5000,1781.199705
14819.905826,5000,1786.777736
14752.519019,5000,1791.67799
14763.635863,5000,1797.167481
14758.148226,5000,1801.807659
14788.255389,5000,1806.349666
14602.144669,5000,1811.828735
14779.448482,5000,1816.428544
14805.327761,5000,1821.898269
14797.948778,5000,1826.483909
14807.072865,5000,1831.874436
14805.290073,5000,1836.511753
14799.980027,5000,1841.859864
14819.529676,5000,1846.452614
14804.734591,5000,1851.026914
14802.58624,5000,1856.520755
14639.441903,5000,1861.130626
14720.179653,5000,1866.590367
14714.448649,5000,1871.20413
14799.217985,5000,1876.688644
14824.955199,5000,1881.354966
14806.371632,5000,1886.01375
14792.868052,5000,1891.524629
14654.669488,5000,1896.720371
14809.63189,5000,1902.171151
14802.058391,5000,1906.725668
14791.722132,5000,1912.072556
14810.604923,5000,1916.708969
14789.04278,5000,1922.044559
